Reisegebiete;Jahr;Monat;Datenbasis;Zählen;Anmerkungen
Spreewald;2010;Januar;Übernachtungen;50019;
Spreewald;2010;Februar;Übernachtungen;58066;
Spreewald;2010;März;Übernachtungen;68813;
Spreewald;2010;April;Übernachtungen;110782;
Spreewald;2010;Mai;Übernachtungen;164441;
Spreewald;2010;Juni;Übernachtungen;153573;
Spreewald;2010;Juli;Übernachtungen;190561;
Spreewald;2010;August;Übernachtungen;178543;
Spreewald;2010;September;Übernachtungen;137737;
Spreewald;2010;Oktober;Übernachtungen;118670;
Spreewald;2010;November;Übernachtungen;68743;
Spreewald;2010;Dezember;Übernachtungen;63260;
Spreewald;2011;Januar;Übernachtungen;50437;
Spreewald;2011;Februar;Übernachtungen;57575;
Spreewald;2011;März;Übernachtungen;66658;
Spreewald;2011;April;Übernachtungen;114809;
Spreewald;2011;Mai;Übernachtungen;134164;
Spreewald;2011;Juni;Übernachtungen;188339;
Spreewald;2011;Juli;Übernachtungen;196978;
Spreewald;2011;August;Übernachtungen;196838;
Spreewald;2011;September;Übernachtungen;144956;
Spreewald;2011;Oktober;Übernachtungen;121827;
Spreewald;2011;November;Übernachtungen;64029;
Spreewald;2011;Dezember;Übernachtungen;58225;
Spreewald;2012;Januar;Übernachtungen;51374;
Spreewald;2012;Februar;Übernachtungen;53587;
Spreewald;2012;März;Übernachtungen;68196;
Spreewald;2012;April;Übernachtungen;116197;
Spreewald;2012;Mai;Übernachtungen;174028;
Spreewald;2012;Juni;Übernachtungen;159687;
Spreewald;2012;Juli;Übernachtungen;188629;
Spreewald;2012;August;Übernachtungen;205324;
Spreewald;2012;September;Übernachtungen;162405;
Spreewald;2012;Oktober;Übernachtungen;121791;
Spreewald;2012;November;Übernachtungen;67912;
Spreewald;2012;Dezember;Übernachtungen;61763;
Spreewald;2013;Januar;Übernachtungen;52719;
Spreewald;2013;Februar;Übernachtungen;58003;
Spreewald;2013;März;Übernachtungen;85399;
Spreewald;2013;April;Übernachtungen;96475;
Spreewald;2013;Mai;Übernachtungen;188401;
Spreewald;2013;Juni;Übernachtungen;148594;
Spreewald;2013;Juli;Übernachtungen;189362;
Spreewald;2013;August;Übernachtungen;201937;
Spreewald;2013;September;Übernachtungen;153796;
Spreewald;2013;Oktober;Übernachtungen;132632;
Spreewald;2013;November;Übernachtungen;73898;
Spreewald;2013;Dezember;Übernachtungen;69083;
Spreewald;2014;Januar;Übernachtungen;58218;
Spreewald;2014;Februar;Übernachtungen;67091;
Spreewald;2014;März;Übernachtungen;77564;
Spreewald;2014;April;Übernachtungen;129732;
Spreewald;2014;Mai;Übernachtungen;170124;
Spreewald;2014;Juni;Übernachtungen;187494;
Spreewald;2014;Juli;Übernachtungen;198617;
Spreewald;2014;August;Übernachtungen;224073;
Spreewald;2014;September;Übernachtungen;161853;
Spreewald;2014;Oktober;Übernachtungen;141164;
Spreewald;2014;November;Übernachtungen;78998;
Spreewald;2014;Dezember;Übernachtungen;70050;
Spreewald;2015;Januar;Übernachtungen;60967;
Spreewald;2015;Februar;Übernachtungen;69279;
Spreewald;2015;März;Übernachtungen;84330;
Spreewald;2015;April;Übernachtungen;128904;
Spreewald;2015;Mai;Übernachtungen;204553;
Spreewald;2015;Juni;Übernachtungen;177471;
Spreewald;2015;Juli;Übernachtungen;217664;
Spreewald;2015;August;Übernachtungen;244328;
Spreewald;2015;September;Übernachtungen;180201;
Spreewald;2015;Oktober;Übernachtungen;162157;
Spreewald;2015;November;Übernachtungen;87819;
Spreewald;2015;Dezember;Übernachtungen;81417;
Spreewald;2016;Januar;Übernachtungen;70436;
Spreewald;2016;Februar;Übernachtungen;81529;
Spreewald;2016;März;Übernachtungen;112684;
Spreewald;2016;April;Übernachtungen;124083;
Spreewald;2016;Mai;Übernachtungen;222721;
Spreewald;2016;Juni;Übernachtungen;195787;
Spreewald;2016;Juli;Übernachtungen;247820;
Spreewald;2016;August;Übernachtungen;248685;
Spreewald;2016;September;Übernachtungen;197475;
Spreewald;2016;Oktober;Übernachtungen;171368;
Spreewald;2016;November;Übernachtungen;90027;
Spreewald;2016;Dezember;Übernachtungen;84800;
Spreewald;2017;Januar;Übernachtungen;70791;
Spreewald;2017;Februar;Übernachtungen;75879;
Spreewald;2017;März;Übernachtungen;92381;
Spreewald;2017;April;Übernachtungen;162187;
Spreewald;2017;Mai;Übernachtungen;194249;
Spreewald;2017;Juni;Übernachtungen;223732;
Spreewald;2017;Juli;Übernachtungen;253399;
Spreewald;2017;August;Übernachtungen;240310;
Spreewald;2017;September;Übernachtungen;194637;
Spreewald;2017;Oktober;Übernachtungen;169247;
Spreewald;2017;November;Übernachtungen;96379;
Spreewald;2017;Dezember;Übernachtungen;90364;
